fid,erosion_score_pred
1243,0.6775695481484723
1244,0.7158871347515031
1245,0.7087726571777193
1246,0.6571737921944757
1247,0.5884777114389534
1248,0.5712142854355822
1249,0.5857265675020591
1250,0.5715403547551111
1251,0.5839792031813615
1252,0.6946417150268717
1253,0.7137925443443717
1254,0.7139744584484076
1256,0.7154701535741227
1258,0.7157485384826878
1259,0.6692219390274892
1260,0.6381678440660798
1261,0.6687414075480677
1262,0.6198683729002162
1263,0.65817477997371
1264,0.6900603976137615
1265,0.7167163105931608
1269,0.6857025236803839
1270,0.7098811807522301
1271,0.6852954834726729
1272,0.6908011430712355
1273,0.7116343039739359
1274,0.6508394245226284
1275,0.5818274518447855
1276,0.7003760510101488
1277,0.6980059132732886
1286,0.6815963606564717
1300,0.7024490944784638
1301,0.7095625434053981
1302,0.6914110692981914
1303,0.6807816693790859
1304,0.5927788541719013
1305,0.6158622051717819
1306,0.6218710804608676
1307,0.6505165014162986
1308,0.6630208933841951
1309,0.6628136855227343
1310,0.6474075441123405
1311,0.6446519035105935
1312,0.7024071657929912
1314,0.6937658115600279
1315,0.5676098378635162
1316,0.5739470594942239
1317,0.5930185063989033
1318,0.6159058603457753
1319,0.6451073644780737
1320,0.6691164304330058
1321,0.7004216139861494
1322,0.6933243240621931
1323,0.6624119230964624
1324,0.7118135285126571
1325,0.7124410419502786
1326,0.7117251104757952
1327,0.7004972820686441
1328,0.670145777573675
1329,0.7075053323756768
1330,0.7054940622279869
1331,0.665378726188726
1332,0.6724057454613015
1336,0.698589414634806
1337,0.6514501350020936
1338,0.7064895365625324
1339,0.693770169854855
1340,0.7079067144305273
1341,0.7148418343198215
1342,0.6471754032247768
1343,0.6098698574453223
1344,0.6534805205545052
1345,0.6641094394011758
1346,0.6650913254244213
1354,0.7136872025161575
1368,0.7048276363042517
1369,0.7036738327705417
1370,0.7024055442663013
1371,0.6705097159711959
1372,0.6329039625931736
1373,0.6402446706805935
1374,0.6174018672843641
1375,0.6432473148875872
1376,0.6594354341887521
1377,0.6645366523801362
1378,0.6322706159605674
1379,0.6441878117945012
1380,0.6547203010670255
1381,0.6584206849498819
1382,0.6576869370631914
